Type,Length,Time,Error
HashSet,2500000,47,0
HashSet,2600000,59,0
HashSet,2700000,55,0
HashSet,2800000,57,0
HashSet,2900000,52,0
HashSet,3000000,57,0
HashSet,3100000,56,0
HashSet,3200000,56,0
HashSet,3300000,61,0
HashSet,3400000,65,0
HashSet,3500000,69,0
HashSet,3600000,79,0
HashSet,3700000,83,0
HashSet,3800000,104,0
HashSet,3900000,61,0
HashSet,4000000,72,0
HashSet,4100000,72,0
HashSet,4200000,86,0
HashSet,4300000,95,0
HashSet,4400000,115,0
HashSet,4500000,115,0
HashSet,4600000,116,0
HashSet,4700000,116,0
HashSet,4800000,121,0
HashSet,4900000,111,0
HashSet,5000000,137,0
HashSet,5100000,122,0
HashSet,5200000,102,0
HashSet,5300000,126,0
HashSet,5400000,139,0
HashSet,5500000,159,0
HashSet,5600000,122,0
HashSet,5700000,139,0
HashSet,5800000,153,0
HashSet,5900000,151,0
HashSet,6000000,124,0
HashSet,6100000,172,0
HashSet,6200000,131,0
HashSet,6300000,151,0
HashSet,6400000,127,0
HashSet,6500000,148,0
HashSet,6600000,139,0
HashSet,6700000,162,0
HashSet,6800000,131,0
HashSet,6900000,145,0
HashSet,7000000,169,0
HashSet,7100000,165,0
HashSet,7200000,166,0
HashSet,7300000,183,0
HashSet,7400000,131,0
HashSet,7500000,154,0
HashSet,7600000,147,0
HashSet,7700000,178,0
HashSet,7800000,170,0
HashSet,7900000,168,0
HashSet,8000000,217,0
HashSet,8100000,186,0
HashSet,8200000,197,0
HashSet,8300000,193,0
HashSet,8400000,173,0
HashSet,8500000,207,0
HashSet,8600000,178,0
HashSet,8700000,171,0
HashSet,8800000,186,0
HashSet,8900000,205,0
HashSet,9000000,198,0
HashSet,9100000,211,0
HashSet,9200000,212,0
HashSet,9300000,216,0
HashSet,9400000,208,0
HashSet,9500000,217,0
HashSet,9600000,216,0
HashSet,9700000,225,0
HashSet,9800000,190,0
HashSet,9900000,233,0
HashSet,10000000,209,0
